ID,Province_State,Date,Confirmed,Deaths
0,Alabama,11-22-2020,230708,3457
1,Alaska,11-22-2020,27224,102
2,Arizona,11-22-2020,295334,6457
3,Arkansas,11-22-2020,143821,2337
4,California,11-22-2020,1105435,18672
5,Colorado,11-22-2020,194679,2787
6,Connecticut,11-22-2020,101469,4828
7,Delaware,11-22-2020,31321,746
8,Florida,11-22-2020,931827,17930
9,Georgia,11-22-2020,446804,9179
10,Hawaii,11-22-2020,17361,231
11,Idaho,11-22-2020,90834,847
12,Illinois,11-22-2020,646286,11951
13,Indiana,11-22-2020,289183,5246
14,Iowa,11-22-2020,209203,2191
15,Kansas,11-22-2020,137066,1410
16,Kentucky,11-22-2020,155908,1783
17,Louisiana,11-22-2020,216709,6233
18,Maine,11-22-2020,10123,174
19,Maryland,11-22-2020,179971,4415
20,Massachusetts,11-22-2020,204155,10488
21,Michigan,11-22-2020,329021,8875
22,Minnesota,11-22-2020,262952,3257
23,Mississippi,11-22-2020,142401,3657
24,Missouri,11-22-2020,272821,3574
25,Montana,11-22-2020,54542,600
26,Nebraska,11-22-2020,113029,905
27,Nevada,11-22-2020,131733,2011
28,New Hampshire,11-22-2020,17315,508
29,New Jersey,11-22-2020,302039,16746
30,New Mexico,11-22-2020,79440,1350
31,New York,11-22-2020,590823,34296
32,North Carolina,11-22-2020,332261,5005
33,North Dakota,11-22-2020,71540,840
34,Ohio,11-22-2020,343286,5984
35,Oklahoma,11-22-2020,170924,1624
36,Oregon,11-22-2020,63668,819
37,Pennsylvania,11-22-2020,306988,9775
38,Rhode Island,11-22-2020,48001,1294
39,South Carolina,11-22-2020,205018,4274
40,South Dakota,11-22-2020,72214,777
41,Tennessee,11-22-2020,335887,4211
42,Texas,11-22-2020,1144424,20903
43,Utah,11-22-2020,173979,787
44,Vermont,11-22-2020,3546,63
45,Virginia,11-22-2020,215679,3938
46,Washington,11-22-2020,141260,2619
47,West Virginia,11-22-2020,39598,658
48,Wisconsin,11-22-2020,372219,3143
49,Wyoming,11-22-2020,27410,176
50,Alabama,11-23-2020,232506,3457
51,Alaska,11-23-2020,27773,103
52,Arizona,11-23-2020,299665,6464
53,Arkansas,11-23-2020,145173,2357
54,California,11-23-2020,1114524,18726
55,Colorado,11-23-2020,198600,2806
56,Connecticut,11-23-2020,101469,4828
57,Delaware,11-23-2020,31808,748
58,Florida,11-23-2020,938414,17991
59,Georgia,11-23-2020,449132,9198
60,Hawaii,11-23-2020,17483,233
61,Idaho,11-23-2020,91653,849
62,Illinois,11-23-2020,656298,12050
63,Indiana,11-23-2020,295357,5305
64,Iowa,11-23-2020,211664,2202
65,Kansas,11-23-2020,137085,1410
66,Kentucky,11-23-2020,158100,1787
67,Louisiana,11-23-2020,220192,6260
68,Maine,11-23-2020,10359,176
69,Maryland,11-23-2020,182139,4434
70,Massachusetts,11-23-2020,206850,10512
71,Michigan,11-23-2020,329021,8875
72,Minnesota,11-23-2020,270157,3297
73,Mississippi,11-23-2020,143180,3676
74,Missouri,11-23-2020,277112,3578
75,Montana,11-23-2020,55680,603
76,Nebraska,11-23-2020,114061,909
77,Nevada,11-23-2020,133888,2017
78,New Hampshire,11-23-2020,17637,512
79,New Jersey,11-23-2020,306007,16761
80,New Mexico,11-23-2020,81896,1383
81,New York,11-23-2020,596214,34319
82,North Carolina,11-23-2020,336775,5034
83,North Dakota,11-23-2020,72683,846
84,Ohio,11-23-2020,351419,5996
85,Oklahoma,11-23-2020,174330,1634
86,Oregon,11-23-2020,65170,820
87,Pennsylvania,11-23-2020,313358,9816
88,Rhode Island,11-23-2020,48001,1294
89,South Carolina,11-23-2020,206295,4283
90,South Dakota,11-23-2020,73065,819
91,Tennessee,11-23-2020,340476,4266
92,Texas,11-23-2020,1153529,21013
93,Utah,11-23-2020,177176,793
94,Vermont,11-23-2020,3629,63
95,Virginia,11-23-2020,217796,3938
96,Washington,11-23-2020,141260,2619
97,West Virginia,11-23-2020,40478,662
98,Wisconsin,11-23-2020,376238,3150
99,Wyoming,11-23-2020,28169,176
100,Alabama,11-24-2020,234080,3459
101,Alaska,11-24-2020,28273,103
102,Arizona,11-24-2020,302324,6464
103,Arkansas,11-24-2020,146190,2387
104,California,11-24-2020,1128219,18753
105,Colorado,11-24-2020,202289,2810
106,Connecticut,11-24-2020,106740,4871
107,Delaware,11-24-2020,32211,752
108,Florida,11-24-2020,944745,18085
109,Georgia,11-24-2020,451056,9215
110,Hawaii,11-24-2020,17596,233
111,Idaho,11-24-2020,93090,866
112,Illinois,11-24-2020,664620,12111
113,Indiana,11-24-2020,300913,5332
114,Iowa,11-24-2020,214792,2222
115,Kansas,11-24-2020,144792,1456
116,Kentucky,11-24-2020,160232,1792
117,Louisiana,11-24-2020,221160,6284
118,Maine,11-24-2020,10544,177
119,Maryland,11-24-2020,183797,4448
120,Massachusetts,11-24-2020,208623,10531
121,Michigan,11-24-2020,340964,8940
122,Minnesota,11-24-2020,276500,3321
123,Mississippi,11-24-2020,143879,3676
124,Missouri,11-24-2020,280645,3580
125,Montana,11-24-2020,56381,614
126,Nebraska,11-24-2020,115921,934
127,Nevada,11-24-2020,136227,2023
128,New Hampshire,11-24-2020,18082,512
129,New Jersey,11-24-2020,309588,16772
130,New Mexico,11-24-2020,84148,1400
131,New York,11-24-2020,602120,34339
132,North Carolina,11-24-2020,339194,5039
133,North Dakota,11-24-2020,73397,852
134,Ohio,11-24-2020,363304,6020
135,Oklahoma,11-24-2020,177874,1649
136,Oregon,11-24-2020,66333,826
137,Pennsylvania,11-24-2020,320158,9846
138,Rhode Island,11-24-2020,50573,1309
139,South Carolina,11-24-2020,207552,4288
140,South Dakota,11-24-2020,73848,819
141,Tennessee,11-24-2020,344550,4301
142,Texas,11-24-2020,1162052,21049
143,Utah,11-24-2020,179420,797
144,Vermont,11-24-2020,3714,63
145,Virginia,11-24-2020,221038,3942
146,Washington,11-24-2020,147537,2655
147,West Virginia,11-24-2020,41114,667
148,Wisconsin,11-24-2020,379693,3158
149,Wyoming,11-24-2020,29431,202
150,Alabama,11-25-2020,236865,3472
151,Alaska,11-25-2020,28863,116
152,Arizona,11-25-2020,306868,6515
153,Arkansas,11-25-2020,148312,2405
154,California,11-25-2020,1145209,18862
155,Colorado,11-25-2020,206439,2860
156,Connecticut,11-25-2020,107280,4881
157,Delaware,11-25-2020,32664,757
158,Florida,11-25-2020,953300,18157
159,Georgia,11-25-2020,454732,9221
160,Hawaii,11-25-2020,17656,233
161,Idaho,11-25-2020,94730,874
162,Illinois,11-25-2020,674089,12261
163,Indiana,11-25-2020,306538,5435
164,Iowa,11-25-2020,217784,2270
165,Kansas,11-25-2020,145129,1456
166,Kentucky,11-25-2020,162838,1809
167,Louisiana,11-25-2020,224403,6323
168,Maine,11-25-2020,10799,189
169,Maryland,11-25-2020,185464,4481
170,Massachusetts,11-25-2020,211199,10551
171,Michigan,11-25-2020,347746,9094
172,Minnesota,11-25-2020,282916,3359
173,Mississippi,11-25-2020,144544,3729
174,Missouri,11-25-2020,284612,3769
175,Montana,11-25-2020,57504,630
176,Nebraska,11-25-2020,115921,934
177,Nevada,11-25-2020,139098,2047
178,New Hampshire,11-25-2020,18444,513
179,New Jersey,11-25-2020,313863,16819
180,New Mexico,11-25-2020,86247,1428
181,New York,11-25-2020,607001,34362
182,North Carolina,11-25-2020,342294,5074
183,North Dakota,11-25-2020,74401,889
184,Ohio,11-25-2020,371840,6100
185,Oklahoma,11-25-2020,180610,1664
186,Oregon,11-25-2020,67333,847
187,Pennsylvania,11-25-2020,326513,9924
188,Rhode Island,11-25-2020,51424,1325
189,South Carolina,11-25-2020,209230,4313
190,South Dakota,11-25-2020,74859,821
191,Tennessee,11-25-2020,345916,4372
192,Texas,11-25-2020,1181533,21245
193,Utah,11-25-2020,182121,808
194,Vermont,11-25-2020,3762,64
195,Virginia,11-25-2020,223582,3979
196,Washington,11-25-2020,151019,2690
197,West Virginia,11-25-2020,42083,682
198,Wisconsin,11-25-2020,386441,3272
199,Wyoming,11-25-2020,29959,202
200,Alabama,11-26-2020,239318,3532
201,Alaska,11-26-2020,29543,116
202,Arizona,11-26-2020,310850,6524
203,Arkansas,11-26-2020,150277,2425
204,California,11-26-2020,1160940,18968
205,Colorado,11-26-2020,210630,2906
206,Connecticut,11-26-2020,109152,4926
207,Delaware,11-26-2020,32995,760
208,Florida,11-26-2020,961676,18254
209,Georgia,11-26-2020,457909,9297
210,Hawaii,11-26-2020,17764,235
211,Idaho,11-26-2020,96503,895
212,Illinois,11-26-2020,685467,12439
213,Indiana,11-26-2020,312521,5498
214,Iowa,11-26-2020,221286,2312
215,Kansas,11-26-2020,150292,1503
216,Kentucky,11-26-2020,166139,1835
217,Louisiana,11-26-2020,225638,6350
218,Maine,11-26-2020,11027,190
219,Maryland,11-26-2020,188161,4518
220,Massachusetts,11-26-2020,214594,10604
221,Michigan,11-26-2020,352433,9170
222,Minnesota,11-26-2020,289303,3434
223,Mississippi,11-26-2020,145636,3745
224,Missouri,11-26-2020,289002,3802
225,Montana,11-26-2020,58565,652
226,Nebraska,11-26-2020,117682,950
227,Nevada,11-26-2020,142240,2071
228,New Hampshire,11-26-2020,18846,514
229,New Jersey,11-26-2020,317905,16886
230,New Mexico,11-26-2020,88102,1451
231,New York,11-26-2020,613266,34388
232,North Carolina,11-26-2020,346506,5138
233,North Dakota,11-26-2020,75478,893
234,Ohio,11-26-2020,382743,6274
235,Oklahoma,11-26-2020,184342,1680
236,Oregon,11-26-2020,68503,867
237,Pennsylvania,11-26-2020,333465,10070
238,Rhode Island,11-26-2020,52317,1335
239,South Carolina,11-26-2020,210905,4317
240,South Dakota,11-26-2020,76142,849
241,Tennessee,11-26-2020,347972,4466
242,Texas,11-26-2020,1196711,21454
243,Utah,11-26-2020,183902,834
244,Vermont,11-26-2020,3827,64
245,Virginia,11-26-2020,226300,4008
246,Washington,11-26-2020,153906,2704
247,West Virginia,11-26-2020,43050,695
248,Wisconsin,11-26-2020,392438,3343
249,Wyoming,11-26-2020,30761,215
250,Alabama,11-27-2020,241957,3572
251,Alaska,11-27-2020,30102,119
252,Arizona,11-27-2020,314324,6568
253,Arkansas,11-27-2020,152625,2436
254,California,11-27-2020,1171802,19025
255,Colorado,11-27-2020,216683,2957
256,Connecticut,11-27-2020,109152,4926
257,Delaware,11-27-2020,33579,761
258,Florida,11-27-2020,961676,18254
259,Georgia,11-27-2020,461517,9336
260,Hawaii,11-27-2020,17881,237
261,Idaho,11-27-2020,96503,895
262,Illinois,11-27-2020,697489,12594
263,Indiana,11-27-2020,318894,5561
264,Iowa,11-27-2020,223323,2349
265,Kansas,11-27-2020,150647,1503
266,Kentucky,11-27-2020,166139,1835
267,Louisiana,11-27-2020,225638,6350
268,Maine,11-27-2020,11265,190
269,Maryland,11-27-2020,190480,4547
270,Massachusetts,11-27-2020,214594,10604
271,Michigan,11-27-2020,352433,9170
272,Minnesota,11-27-2020,289303,3434
273,Mississippi,11-27-2020,147382,3763
274,Missouri,11-27-2020,293496,3835
275,Montana,11-27-2020,59682,658
276,Nebraska,11-27-2020,122952,982
277,Nevada,11-27-2020,144781,2093
278,New Hampshire,11-27-2020,18846,514
279,New Jersey,11-27-2020,322378,16925
280,New Mexico,11-27-2020,89796,1469
281,New York,11-27-2020,620199,34443
282,North Carolina,11-27-2020,346506,5138
283,North Dakota,11-27-2020,76442,903
284,Ohio,11-27-2020,382743,6274
285,Oklahoma,11-27-2020,184342,1680
286,Oregon,11-27-2020,68503,867
287,Pennsylvania,11-27-2020,340642,10172
288,Rhode Island,11-27-2020,52317,1335
289,South Carolina,11-27-2020,210905,4317
290,South Dakota,11-27-2020,76142,849
291,Tennessee,11-27-2020,352376,4519
292,Texas,11-27-2020,1202804,21639
293,Utah,11-27-2020,183902,834
294,Vermont,11-27-2020,3827,64
295,Virginia,11-27-2020,228900,4029
296,Washington,11-27-2020,153906,2704
297,West Virginia,11-27-2020,44180,712
298,Wisconsin,11-27-2020,398104,3415
299,Wyoming,11-27-2020,30761,215
300,Alabama,11-28-2020,242874,3572
301,Alaska,11-28-2020,30776,119
302,Arizona,11-28-2020,318638,6588
303,Arkansas,11-28-2020,153677,2436
304,California,11-28-2020,1185576,19089
305,Colorado,11-28-2020,220953,2977
306,Connecticut,11-28-2020,112581,4961
307,Delaware,11-28-2020,34170,763
308,Florida,11-28-2020,979020,18363
309,Georgia,11-28-2020,464526,9380
310,Hawaii,11-28-2020,18006,240
311,Idaho,11-28-2020,98500,909
312,Illinois,11-28-2020,705063,12685
313,Indiana,11-28-2020,324537,5594
314,Iowa,11-28-2020,225056,2360
315,Kansas,11-28-2020,155411,1529
316,Kentucky,11-28-2020,171755,1871
317,Louisiana,11-28-2020,230602,6391
318,Maine,11-28-2020,11265,190
319,Maryland,11-28-2020,192858,4569
320,Massachusetts,11-28-2020,219252,10635
321,Michigan,11-28-2020,369801,9357
322,Minnesota,11-28-2020,295001,3535
323,Mississippi,11-28-2020,148387,3769
324,Missouri,11-28-2020,296665,3836
325,Montana,11-28-2020,59796,657
326,Nebraska,11-28-2020,124066,984
327,Nevada,11-28-2020,146317,2095
328,New Hampshire,11-28-2020,19323,517
329,New Jersey,11-28-2020,326473,16942
330,New Mexico,11-28-2020,91852,1504
331,New York,11-28-2020,628375,34477
