ID,Province_State,Date,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
0,Alabama,4/12/1020,3563,93,,3470,75.98802021,21583,437,2.610159978,460.3001516,12.26494527
1,Alaska,4/12/1020,272,8,66,264,45.50404936,8038,31,2.941176471,1344.711576,11.39705882
2,Arizona,4/12/1020,3542,115,,3427,48.66242224,42109,,3.246753247,578.5222863,
3,Arkansas,4/12/1020,1280,27,367,1253,49.43942261,19722,130,2.109375,761.7533537,10.15625
4,California,4/12/1020,22795,640,,22155,58.13772584,190328,5234,2.81202018,485.4238685,22.9611757
5,Colorado,4/12/1020,7307,289,,7018,128.943729,34873,1376,3.955111537,615.3899908,18.8312577
6,Connecticut,4/12/1020,12035,554,,11481,337.5604825,41220,1654,4.603240548,1156.148159,13.74324886
7,Delaware,4/12/1020,1625,35,191,1590,166.8782169,11103,190,2.153846154,1140.214672,11.69230769
8,Florida,4/12/1020,19895,461,,19434,93.70022691,182753,2772,2.317165117,860.7186513,13.93314903
9,Georgia,4/12/1020,12452,433,,12019,122.8081405,54453,2505,3.477353036,537.0439828,20.11725024
10,Hawaii,4/12/1020,499,9,300,490,35.24543964,17968,44,1.803607214,1269.118355,8.817635271
11,Idaho,4/12/1020,1407,27,,1380,87.36433536,14308,131,1.918976546,888.4214004,9.310589908
12,Illinois,4/12/1020,20852,720,,20132,177.6807818,100735,3680,3.452906196,858.3672336,17.64818722
13,Indiana,4/12/1020,7928,343,,7585,121.1492553,42489,,4.326437941,649.2823801,
14,Iowa,4/12/1020,1587,41,674,1546,60.55603952,17592,129,2.583490863,671.2677046,8.128544423
15,Kansas,4/12/1020,1344,56,,1288,55.11612114,13253,298,4.166666667,543.4925249,22.17261905
16,Kentucky,4/12/1020,1963,97,464,1866,57.34228025,24567,459,4.9414162,717.6402439,23.38257769
17,Louisiana,4/12/1020,20595,840,,19755,447.9836494,104045,2084,4.078659869,2263.19295,10.11896091
18,Maine,4/12/1020,633,19,266,614,53.91795272,6721,120,3.001579779,572.4842974,18.95734597
19,Maryland,4/12/1020,8225,236,456,7989,138.3903145,49764,1860,2.869300912,837.3076732,22.61398176
20,Massachusetts,4/12/1020,25475,756,,24719,371.1516059,116730,2235,2.967615309,1700.668379,8.773307164
21,Michigan,4/12/1020,24244,1479,433,22765,304.2953668,79437,3636,6.100478469,997.0430232,14.99752516
22,Minnesota,4/12/1020,1621,70,842,1551,32.77100367,37421,361,4.318322023,756.5229662,22.27020358
23,Mississippi,4/12/1020,2781,96,,2685,96.05534114,21413,548,3.451995685,739.6019489,19.70514204
24,Missouri,4/12/1020,4269,118,,4151,72.85659283,45200,988,2.764113375,771.4026695,23.14359335
25,Montana,4/12/1020,387,6,169,381,44.68889256,8913,47,1.550387597,1029.230231,12.14470284
26,Nebraska,4/12/1020,791,17,,774,51.85960275,10691,,2.149178255,700.924163,
27,Nevada,4/12/1020,2836,112,,2724,94.01010443,24611,282,3.94922426,815.8260508,9.943582511
28,New Hampshire,4/12/1020,929,23,236,906,69.94702398,10925,146,2.475780409,822.5739902,15.71582347
29,New Jersey,4/12/1020,61850,2350,,59500,696.3372772,126735,7604,3.799514956,1426.844055,12.29426031
30,New Mexico,4/12/1020,1245,26,235,1219,74.66119111,28692,78,2.088353414,1720.625619,6.265060241
31,New York,4/12/1020,189033,9385,23887,179648,1121.124012,461601,42594,4.964741606,2737.680538,22.53257368
32,North Carolina,4/12/1020,4570,89,,4481,46.07841902,62139,331,1.947483589,626.5354222,7.242888403
33,North Dakota,4/12/1020,308,7,121,301,50.79004911,10350,39,2.272727273,1706.743533,12.66233766
34,Ohio,4/12/1020,6604,253,,6351,59.10222609,63243,1948,3.831011508,565.9906245,29.49727438
35,Oklahoma,4/12/1020,1970,96,865,1874,53.85995428,22760,446,4.873096447,622.2601824,22.63959391
36,Oregon,4/12/1020,1527,52,,1475,38.1076067,29758,359,3.405370007,742.6366471,23.51015062
37,Pennsylvania,4/12/1020,22938,557,,22381,182.2284446,124890,2097,2.428284942,992.175013,9.142035051
38,Rhode Island,4/12/1020,2665,63,35,2602,251.5667464,20350,201,2.363977486,1920.969339,7.542213884
39,South Carolina,4/12/1020,3320,82,,3238,65.87334263,31425,496,2.469879518,623.5149976,14.93975904
40,South Dakota,4/12/1020,730,6,197,724,99.19933903,8553,43,0.821917808,1162.262941,5.890410959
41,Tennessee,4/12/1020,5508,106,1504,5402,83.90037425,70677,567,1.924473493,1076.584377,10.29411765
42,Texas,4/12/1020,13677,283,2014,13394,59.50516088,124533,1338,2.069167215,541.811523,9.782847116
43,Utah,4/12/1020,2303,18,,2285,80.3592053,44234,195,0.781589231,1543.468991,8.467216674
44,Vermont,4/12/1020,727,27,15,700,119.0649715,9841,34,3.71389271,1611.717172,4.676753783
45,Virginia,4/12/1020,5274,141,,5133,66.69845192,39985,751,2.673492605,505.6764505,14.23966629
46,Washington,4/12/1020,10609,506,,10103,140.5276682,93615,642,4.7695353,1240.031828,6.051465737
47,West Virginia,4/12/1020,593,6,83,587,44.82244115,16257,81,1.011804384,1228.800044,13.65935919
48,Wisconsin,4/12/1020,3341,144,,3197,64.56573888,39257,974,4.3100868,758.6522632,29.15294822
49,Wyoming,4/12/1020,270,0,137,270,54.29973453,5459,40,0,1097.860188,14.81481481
50,Alabama,4/13/20,3734,99,,3635,79.63493333,29182,457,2.651312266,622.3638523,12.23888591
51,Alaska,4/13/20,277,8,85,269,46.34052085,7830,32,2.888086643,1309.914362,11.55234657
52,Arizona,4/13/20,3705,122,,3583,50.90182789,43347,525,3.292847503,595.5307783,14.17004049
53,Arkansas,4/13/20,1410,29,391,1381,54.46061397,20804,130,2.056737589,803.5451156,9.219858156
54,California,4/13/20,23931,714,,23217,61.03504791,190882,3015,2.987756467,486.8368231,12.59872132
55,Colorado,4/13/20,7691,306,,7385,135.7200246,37534,1472,3.978676375,662.3476017,19.13925367
56,Connecticut,4/13/20,13381,602,,12779,375.3134039,44309,1760,4.498916374,1242.78915,13.1529781
57,Delaware,4/13/20,1758,41,213,1717,180.5365571,11820,201,2.332195677,1213.846476,11.4334471
58,Florida,4/13/20,21019,499,,122520,579.3871935,196207,2833,0.405628399,924.0834592,2.302896301
59,Georgia,4/13/20,13315,465,,12850,131.3194981,57021,2589,3.492301915,562.3709427,19.44423582
60,Hawaii,4/13/20,504,9,310,495,35.59860035,18844,44,1.785714286,1330.992113,8.73015873
61,Idaho,4/13/20,1426,27,,1399,88.54409539,14881,132,1.893408135,924.0004794,9.256661992
62,Illinois,4/13/20,22025,798,,21227,187.6759649,105768,3680,3.623155505,901.2536414,16.70828604
63,Indiana,4/13/20,8359,350,,8009,127.7354472,44539,,4.187103721,680.6088147,
64,Iowa,4/13/20,1710,41,741,1669,65.24941877,18696,142,2.397660819,713.3936452,8.304093567
65,Kansas,4/13/20,1390,62,,1328,57.002536,13864,309,4.460431655,568.5490353,22.23021583
66,Kentucky,4/13/20,2018,113,607,1905,58.94891571,25866,667,5.599603568,755.5860524,33.05252725
67,Louisiana,4/13/20,21016,884,,20132,457.1412661,108091,2134,4.206318995,2351.201779,10.15416825
68,Maine,4/13/20,698,19,273,679,59.45455134,12306,124,2.722063037,1048.205887,17.76504298
69,Maryland,4/13/20,8936,262,603,8674,150.3532949,51751,1975,2.931960609,870.7400811,22.10161146
70,Massachusetts,4/13/20,26867,844,,26023,391.4319998,122049,2340,3.141400231,1778.162212,8.70956936
71,Michigan,4/13/20,25635,1602,447,24033,321.7543198,82644,3986,6.249268578,1037.295261,15.54905403
72,Minnesota,4/13/20,1621,70,842,1551,32.77100367,38427,361,4.318322023,776.8608007,22.27020358
73,Mississippi,4/13/20,2942,98,,2844,101.616258,30984,549,3.331067301,1070.182916,18.66077498
74,Missouri,4/13/20,4515,123,,4392,77.05493479,45428,988,2.724252492,775.2938157,21.88261351
75,Montana,4/13/20,394,7,171,387,45.49721878,9098,47,1.776649746,1050.593138,11.92893401
76,Nebraska,4/13/20,814,17,,797,53.36753051,10972,,2.088452088,719.3471066,
77,Nevada,4/13/20,2990,114,,2876,99.11502547,25464,,3.81270903,844.1020096,
78,New Hampshire,4/13/20,985,23,239,962,74.16342155,11207,152,2.335025381,843.8065637,15.43147208
79,New Jersey,4/13/20,64584,2443,,62141,727.1179743,129469,7781,3.78267063,1457.624752,12.04787563
80,New Mexico,4/13/20,1262,26,295,1236,75.68066119,30515,80,2.06022187,1829.948793,6.339144216
81,New York,4/13/20,195749,10058,23887,185691,1160.955517,478357,42712,5.138212711,2837.057652,21.81977941
82,North Carolina,4/13/20,4886,94,,4792,49.26458541,63388,313,1.923864102,639.1288456,6.406058125
83,North Dakota,4/13/20,331,8,127,323,54.58281252,10781,40,2.416918429,1777.816622,12.08459215
84,Ohio,4/13/20,6975,274,,6701,62.42247531,65112,2033,3.928315412,582.7171631,29.14695341
85,Oklahoma,4/13/20,2069,99,865,1970,56.56662203,22859,457,4.784920251,624.9668502,22.0879652
86,Oregon,4/13/20,1584,53,,1531,39.53009103,31121,369,3.345959596,776.6514918,23.29545455
87,Pennsylvania,4/13/20,24292,589,,23703,192.9851503,129792,2243,2.424666557,1031.118419,9.233492508
88,Rhode Island,4/13/20,2665,63,135,2602,251.5667464,20661,331,2.363977486,1950.326659,12.42026266
89,South Carolina,4/13/20,3391,82,,3309,67.28207977,31425,496,2.418165733,623.5149976,14.6269537
90,South Dakota,4/13/20,868,6,207,862,117.9520908,9002,44,0.69124424,1223.277329,5.069124424
91,Tennessee,4/13/20,5610,109,1671,5501,85.45408488,76195,579,1.942959002,1160.637076,10.32085561
92,Texas,4/13/20,14275,305,2269,13970,62.10690733,133226,1176,2.136602452,579.6325629,8.238178634
93,Utah,4/13/20,2363,13,218,2350,82.45280162,45787,201,0.550148117,1597.658243,8.506136267
94,Vermont,4/13/20,748,28,15,720,122.5042623,10366,33,3.743315508,1697.699442,4.411764706
95,Virginia,4/13/20,5747,149,,5598,72.68031915,41401,1238,2.592657038,523.5841123,21.54167392
96,Washington,4/13/20,10635,513,,10122,140.8720663,93802,527,4.823695346,1242.508845,4.955336154
97,West Virginia,4/13/20,611,8,85,603,46.18298743,16655,164,1.309328969,1258.883233,26.84124386
98,Wisconsin,4/13/20,3428,154,,3274,66.24703768,40197,993,4.492415403,776.8180203,28.96732789
99,Wyoming,4/13/20,275,1,138,274,55.30528517,5964,41,0.363636364,1199.420803,14.90909091
100,Alabama,4/14/20,3953,114,,3839,84.30554137,33117,493,2.883885656,706.2855081,12.4715406
101,Alaska,4/14/20,285,9,98,276,47.67887525,8348,32,3.157894737,1396.572809,11.22807018
102,Arizona,4/14/20,3809,131,249,3678,52.33065113,44096,580,3.439222893,605.8210534,15.22709373
103,Arkansas,4/14/20,1498,32,427,1466,57.85957427,21131,130,2.136181575,816.1753431,8.67823765
104,California,4/14/20,25356,767,,24589,64.66945279,202208,5163,3.028868907,515.7233282,20.36204449
105,Colorado,4/14/20,7950,327,,7623,140.290495,38742,1493,4.11320755,683.6646983,18.7798742
106,Connecticut,4/14/20,13989,671,,13318,392.3667295,45841,1779,4.79662592,1285.759043,12.71713489
107,Delaware,4/14/20,1926,43,277,1883,197.7891974,12304,204,2.232606438,1263.550511,10.59190031
108,Florida,4/14/20,21628,571,,21057,101.8622019,203180,3060,2.640096172,956.9244585,14.14832624
109,Georgia,4/14/20,14578,525,,14053,143.7758651,61795,2769,3.601317053,609.4546291,18.99437509
110,Hawaii,4/14/20,511,9,315,502,36.09302536,19420,44,1.761252446,1371.676228,8.610567515
111,Idaho,4/14/20,1464,33,,1431,90.90361547,15114,135,2.254098361,938.468063,9.221311475
