ForecastID,StateName,Confirmed error%,Deaths error%,Label,truthConfirmed,truthDeaths,forecastConfirmed,forecastDeaths
0,Alabama,0.1985408891468458,0.15038334332230494,----------,127616,2200,127362.63005890636,2203.3084335530907
1,Alaska,0.3926113102257468,3.84097830073638,----------,5297,39,5317.796621102658,37.50201846271281
2,Arizona,0.04316467076757039,0.1236030098946827,----------,202342,5044,202254.65974187548,5037.765464180912
3,Arkansas,0.4923515737685206,0.49052638542193516,----------,61497,814,61799.78144732043,810.0071152226654
4,California,0.20656738490847223,0.43129017337506126,----------,715617,13150,717095.2313228605,13093.28534220118
5,Colorado,0.14582586981740864,0.020504523688718444,----------,57755,1946,57670.778268886956,1945.6009819690175
6,Connecticut,0.19758473579574148,0.011195700850873264,----------,53006,4466,52901.26823494411,4465.5
7,Delaware,0.2026128837878595,0.08264462809917356,----------,17535,605,17499.4718308278,605.5
8,Florida,0.8881636297557439,0.3739095775016032,----------,631040,11374,625435.3322307894,11331.471524654968
9,Georgia,0.09387237326605963,0.2588526765114558,----------,272697,5733,272441.01285427465,5718.159976055598
10,Hawaii,0.358257251820178,2.7027027027027026,----------,8653,74,8622.0,72.0
11,Idaho,3.38796334917772e-05,0.2579807536410895,----------,32353,367,32352.989038922176,366.0532106341372
12,Illinois,0.15829496202963422,0.1998528400794811,----------,238216,8273,238593.0839267485,8256.466174540225
13,Indiana,0.2795258226609368,0.4077334547422682,----------,94891,3312,95156.24484838119,3298.495867978936
14,Iowa,0.14648807143009385,0.42120000840994987,----------,65847,1125,65750.54199960543,1129.738500094612
15,Kansas,0.17015229572784593,0.4888932316319358,----------,42962,456,43035.1008292906,453.7706468637584
16,Kentucky,0.7617436381535294,0.9630364742938504,----------,49185,948,48810.33639157419,938.8704142236943
17,Louisiana,0.1120104928370365,0.15668079659433257,----------,148882,4984,149048.76346194564,4976.1910290977385
18,Maine,0.0052781821937600976,0.3787878787878788,----------,4549,132,4548.759895492006,132.5
19,Maryland,0.09346995113130509,0.02012398571149319,----------,108863,3761,108761.24580709993,3761.7568631026093
20,Massachusetts,0.07182889412751547,0.08369741152843671,----------,128888,9064,128795.42117493693,9071.586333380938
21,Michigan,0.07713023050749994,0.060553336706160435,----------,113820,6767,113732.21037163636,6771.097644294906
22,Minnesota,0.3280770393353766,0.07097597149877274,----------,76355,1871,76605.50322338453,1872.327960426742
23,Mississippi,0.08719944037959518,0.3070918995756272,----------,83584,2493,83511.11521975312,2500.6558010564204
24,Missouri,0.15916542482640575,0.5104366830500969,----------,86738,1562,86876.05690618593,1554.0269790107575
25,Montana,0.239865555201659,0.5211993727050954,----------,7509,105,7527.011504540093,105.54725934134035
26,Nebraska,0.010444857315422667,0.18895280527884206,----------,34574,399,34570.388795031766,399.7539216930626
27,Nevada,0.08918943068093392,0.475741863543785,----------,69633,1313,69695.10527626605,1306.75350933167
28,New Hampshire,0.0752824432051548,0.11574074074074073,----------,7297,432,7291.50664011932,432.5
29,New Jersey,0.03860787574645022,0.02821316614420063,----------,192290,15950,192215.76091572715,15945.5
30,New Mexico,0.03886523961745771,0.5086396843920925,----------,25460,787,25469.895090006605,782.9970056838342
31,New York,0.03272308464871028,0.11861218002708737,----------,435510,32966,435367.4876940464,33005.10169126773
32,North Carolina,0.31505349538371624,0.5813173733392291,----------,169424,2741,168890.2237659811,2725.0660907967717
33,North Dakota,0.04207473207534349,0.5212528797497287,----------,12000,145,11994.951032150959,144.2441833243629
34,Ohio,0.3428098721857528,0.6361017762842054,----------,124606,4166,124178.83833066422,4139.5
35,Oklahoma,0.07512119141449879,0.2099759326239646,----------,59398,808,59442.620485276384,806.3033944643984
36,Oregon,0.057186751135976883,0.02956153869130246,----------,26946,464,26961.4095419611,463.86283446047236
37,Pennsylvania,0.08341350775617265,0.06793643537788976,----------,139548,7678,139431.59811819642,7672.783840491686
38,Rhode Island,0.06757625096360359,0.12269436310940104,----------,22002,1050,22016.868126737012,1048.7117091873513
39,South Carolina,0.0773076815312458,0.3205805749746465,----------,119846,2757,119938.65016400794,2748.161593547949
